product_id,product_code,barcode,source_barcode_id,note,relationship,documented_primary,barcode_count_for_product
054a53e0-92e9-444e-939f-540beef1b2c2,CB100_6194003643457,6194003643457,428,,sole_known_code,,1
c351e4cb-cb3a-4a4e-b47b-562f1470d52a,6191415500163CB,6191415500026,8639,,alias_among_equals,,13
c351e4cb-cb3a-4a4e-b47b-562f1470d52a,6191415500163CB,6191415500040,8634,,alias_among_equals,,13
c351e4cb-cb3a-4a4e-b47b-562f1470d52a,6191415500163CB,6191415500064,8638,,alias_among_equals,,13
c351e4cb-cb3a-4a4e-b47b-562f1470d52a,6191415500163CB,6191415500088,8635,,alias_among_equals,,13
c351e4cb-cb3a-4a4e-b47b-562f1470d52a,6191415500163CB,6191415500101,15630,,alias_among_equals,,13
c351e4cb-cb3a-4a4e-b47b-562f1470d52a,6191415500163CB,6191415500125,8640,,alias_among_equals,,13
c351e4cb-cb3a-4a4e-b47b-562f1470d52a,6191415500163CB,6191415500163,8632,,alias_among_equals,,13
c351e4cb-cb3a-4a4e-b47b-562f1470d52a,6191415500163CB,6191415500330,8636,,alias_among_equals,,13
c351e4cb-cb3a-4a4e-b47b-562f1470d52a,6191415500163CB,6191415500354,8633,,alias_among_equals,,13
c351e4cb-cb3a-4a4e-b47b-562f1470d52a,6191415500163CB,6191415500682,8642,,alias_among_equals,,13
c351e4cb-cb3a-4a4e-b47b-562f1470d52a,6191415500163CB,6191415500699,8637,,alias_among_equals,,13
c351e4cb-cb3a-4a4e-b47b-562f1470d52a,6191415500163CB,6191415500705,8641,,alias_among_equals,,13
c351e4cb-cb3a-4a4e-b47b-562f1470d52a,6191415500163CB,6191415501344,173943,,alias_among_equals,,13
8befc684-ca36-432f-b28f-58e0046fd846,6194043403622CB,6194043403622,5912,,sole_known_code,,1
ae63f17c-f01d-454f-84a8-59bebc68b625,6194000240154CB,6194000240154,94564,,sole_known_code,,1
7e7a6291-f15f-4c50-bcfe-5acd0faeddd9,FEL3,6191519400529,172786,SANABEL,alias_among_equals,,5
7e7a6291-f15f-4c50-bcfe-5acd0faeddd9,FEL3,6194001843382,172789,SPIGA,alias_among_equals,,5
7e7a6291-f15f-4c50-bcfe-5acd0faeddd9,FEL3,6194003310069,172787,L'EPI D'OR,alias_among_equals,,5
7e7a6291-f15f-4c50-bcfe-5acd0faeddd9,FEL3,6194004612339,172790,RANDA,alias_among_equals,,5
7e7a6291-f15f-4c50-bcfe-5acd0faeddd9,FEL3,6194043401079,172788,WARDA,alias_among_equals,,5
ff348018-eb41-4b6b-93f2-5c51047d8f75,805278001847CB,805278001847,175065,,sole_known_code,,1
4636e246-ad49-479b-b434-632a80bf3558,6191519300010CB,6191519300010,6472,,sole_known_code,,1
f5e16af8-56d7-4872-8f69-6a5054d83515,6194043001026CB,6194043001026,132958,,sole_known_code,,1
9c0726d2-5683-40c8-897c-6d4e8eb8e8bf,6192489901740CB,6192489901665,174423,,alias_among_equals,,9
9c0726d2-5683-40c8-897c-6d4e8eb8e8bf,6192489901740CB,6192489901689,174422,,alias_among_equals,,9
9c0726d2-5683-40c8-897c-6d4e8eb8e8bf,6192489901740CB,6192489901696,174421,,alias_among_equals,,9
9c0726d2-5683-40c8-897c-6d4e8eb8e8bf,6192489901740CB,6192489901702,174420,,alias_among_equals,,9
